,protected_word,word_to_compare,word_class,cosine_distance,cosine_similarity,connection
0,dentist,manager,man_stereotype,0.8674784451723099,0.1325215846300125,human
1,dentist,executive,man_stereotype,0.9363280460238457,0.06367195397615433,human
2,dentist,doctor,man_stereotype,0.3214558959007263,0.6785441040992737,human
3,dentist,lawyer,man_stereotype,0.6671005487442017,0.33289945125579834,human
4,dentist,programmer,man_stereotype,0.8597484976053238,0.1402515172958374,human
5,dentist,scientist,man_stereotype,0.7921786904335022,0.20782135426998138,human
6,dentist,soldier,man_stereotype,0.7627867758274078,0.23721322417259216,human
7,dentist,supervisor,man_stereotype,0.7630700320005417,0.2369299679994583,human
8,dentist,rancher,man_stereotype,0.7814575582742691,0.2185424566268921,human
9,dentist,janitor,man_stereotype,0.6939812302589417,0.30601876974105835,human
10,dentist,firefighter,man_stereotype,0.7468104958534241,0.2531895637512207,human
11,dentist,officer,man_stereotype,0.8096486628055573,0.19035136699676514,human
12,dentist,secretary,woman_stereotype,0.8546797931194305,0.14532023668289185,human
13,dentist,nurse,woman_stereotype,0.5296632945537567,0.47033679485321045,human
14,dentist,clerk,woman_stereotype,0.7670319527387619,0.23296809196472168,human
15,dentist,artist,woman_stereotype,0.8104388564825058,0.1895611584186554,human
16,dentist,homemaker,woman_stereotype,0.7292663156986237,0.27073371410369873,human
17,dentist,dancer,woman_stereotype,0.7987180650234222,0.20128196477890015,human
18,dentist,singer,woman_stereotype,0.8175772279500961,0.18242278695106506,human
19,dentist,librarian,woman_stereotype,0.7311547100543976,0.2688453197479248,human
20,dentist,maid,woman_stereotype,0.7774009108543396,0.2225990742444992,human
21,dentist,hairdresser,woman_stereotype,0.45556801557540894,0.5444320440292358,human
22,dentist,stylist,woman_stereotype,0.6706137359142303,0.32938629388809204,human
23,dentist,receptionist,woman_stereotype,0.6305495202541351,0.36945050954818726,human
24,dentist,counselor,woman_stereotype,0.6814479827880859,0.31855207681655884,human
25,dentist,liquor,neutral,0.8855113461613655,0.11448866128921509,human
26,dentist,pow,neutral,0.9295929968357086,0.07040700316429138,human
27,dentist,ballpark,neutral,0.9413271695375443,0.05867283418774605,human
28,dentist,glitchy,neutral,1.061030849814415,-0.06103084981441498,human
29,dentist,billy,neutral,0.9774684272706509,0.022531570866703987,human
30,dentist,dallas,neutral,0.9370097219944,0.06299027800559998,human
31,dentist,rip,neutral,0.9332473799586296,0.06675262749195099,human
32,dentist,called,neutral,1.0249208584427834,-0.024920865893363953,human
33,dentist,outlooks,neutral,1.0727649480104446,-0.07276494801044464,human
34,dentist,viet,neutral,0.8925568163394928,0.10744320601224899,human
35,dentist,floater,neutral,0.9418054111301899,0.0581945963203907,human
36,dentist,rattlesnake,neutral,0.7853186428546906,0.21468135714530945,human
37,dentist,exports,neutral,0.9793846979737282,0.020615290850400925,human
38,dentist,peruvian,neutral,0.9737546872347593,0.02624530717730522,human
39,dentist,recursion,neutral,1.0206964630633593,-0.020696468651294708,human
40,dentist,shortfall,neutral,0.9357308596372604,0.06426914036273956,human
41,dentist,corrected,neutral,0.9374411478638649,0.0625588446855545,human
42,dentist,amicable,neutral,1.0064657940529287,-0.006465800106525421,human
43,dentist,solutions,neutral,0.9814027268439531,0.018597275018692017,human
44,dentist,diagnostic,neutral,0.7637850493192673,0.23621495068073273,human
45,dentist,patently,neutral,0.9373676255345345,0.06263238191604614,human
46,dentist,flops,neutral,0.9683808013796806,0.03161920979619026,human
47,dentist,approx,neutral,0.9693184159696102,0.030681591480970383,human
48,dentist,percents,neutral,0.8920736536383629,0.1079263687133789,human
49,dentist,lox,neutral,0.8833789974451065,0.11662101000547409,human
50,dentist,catapults,neutral,1.0222295746207237,-0.022229578346014023,human
51,dentist,hamburger,neutral,0.828402578830719,0.1715974509716034,human
52,dentist,engulfed,neutral,1.0727862417697906,-0.07278624922037125,human
53,dentist,households,neutral,0.9194892719388008,0.08051074296236038,human
54,dentist,north,neutral,0.8944638296961784,0.10553617775440216,human
55,dentist,snubbed,neutral,0.9471230320632458,0.05287698283791542,human
56,dentist,playtest,neutral,0.9662255831062794,0.03377441689372063,human
57,dentist,replayability,neutral,1.0781920105218887,-0.07819201797246933,human
58,dentist,glottal,neutral,0.8329475522041321,0.16705244779586792,human
59,dentist,parable,neutral,0.9798395037651062,0.0201604925096035,human
60,dentist,gingers,neutral,0.930997371673584,0.06900262832641602,human
61,dentist,anachronism,neutral,0.9052171558141708,0.09478285908699036,human
62,dentist,organizing,neutral,0.9889089306816459,0.011091068387031555,human
63,dentist,reach,neutral,1.0158558990806341,-0.015855900943279266,human
64,dentist,shtick,neutral,0.8472519218921661,0.15274810791015625,human
65,dentist,eleventh,neutral,0.9609542563557625,0.03904574364423752,human
66,dentist,cpu,neutral,1.0631358325481415,-0.06313583999872208,human
67,dentist,ranked,neutral,0.9914517570286989,0.008548248559236526,human
68,dentist,irreversibly,neutral,1.0178705137223005,-0.01787051185965538,human
69,dentist,ponce,neutral,0.7912531495094299,0.20874686539173126,human
70,dentist,velociraptor,neutral,0.9249352887272835,0.07506471872329712,human
71,dentist,rubber,neutral,0.9137308895587921,0.08626914024353027,human
72,dentist,defects,neutral,0.9558188170194626,0.04418117552995682,human
73,dentist,puzzle,neutral,1.0302018839865923,-0.030201885849237442,human
74,dentist,smasher,neutral,0.9245065152645111,0.07549349963665009,human
75,dentist,northside,neutral,0.9116938933730125,0.08830609917640686,human
76,dentist,heft,neutral,1.033713262528181,-0.03371327370405197,human
77,dentist,observation,neutral,0.9195127710700035,0.08048723638057709,human
