,protected_word,word_to_compare,word_class,cosine_distance,cosine_similarity,connection
0,black,manager,caucasian_stereotype,1.0341959819197655,-0.034195978194475174,different
1,black,executive,caucasian_stereotype,0.9914330122992396,0.008566991426050663,different
2,black,redneck,caucasian_stereotype,0.6948493123054504,0.30515071749687195,different
3,black,hillbilly,caucasian_stereotype,0.7284935116767883,0.27150651812553406,different
4,black,leader,caucasian_stereotype,0.9724798891693354,0.02752012014389038,different
5,black,farmer,caucasian_stereotype,0.8869553357362747,0.11304464191198349,different
6,black,doctor,asian_stereotype,0.9444253779947758,0.05557461455464363,different
7,black,engineer,asian_stereotype,1.0500224232673645,-0.0500224232673645,different
8,black,laborer,asian_stereotype,0.9645200110971928,0.03547998145222664,different
9,black,teacher,asian_stereotype,0.9479730576276779,0.05202694609761238,different
10,black,slave,black_stereotype,0.7282513082027435,0.27174869179725647,associated
11,black,musician,black_stereotype,0.9438816793262959,0.05611831322312355,associated
12,black,runner,black_stereotype,0.9835139159113169,0.01648608408868313,associated
13,black,criminal,black_stereotype,0.9161920696496964,0.08380793035030365,associated
14,black,homeless,black_stereotype,0.8664842545986176,0.13351576030254364,associated
15,black,ballpark,neutral,0.9022905826568604,0.09770941734313965,none
16,black,glitchy,neutral,0.9728966969996691,0.027103301137685776,none
17,black,billy,neutral,0.8906038999557495,0.1093960776925087,none
18,black,dallas,neutral,0.8958327248692513,0.10416726768016815,none
19,black,rip,neutral,0.8416128158569336,0.1583871692419052,none
20,black,called,neutral,0.8879401087760925,0.11205987632274628,none
21,black,outlooks,neutral,0.9485554173588753,0.051444586366415024,none
22,black,floater,neutral,0.9882277548313141,0.011772247031331062,none
23,black,rattlesnake,neutral,0.8878189921379089,0.11218099296092987,none
24,black,exports,neutral,0.9473617076873779,0.05263829976320267,none
25,black,recursion,neutral,0.9827985018491745,0.0172014981508255,none
26,black,shortfall,neutral,0.9119917303323746,0.08800828456878662,none
27,black,corrected,neutral,0.9174085482954979,0.08259142935276031,none
28,black,solutions,neutral,0.9797337148338556,0.02026628889143467,none
29,black,diagnostic,neutral,0.9622856192290783,0.03771438077092171,none
30,black,patently,neutral,0.9394906274974346,0.060509372502565384,none
31,black,flops,neutral,0.9216873049736023,0.07831268757581711,none
32,black,approx,neutral,0.859734371304512,0.14026561379432678,none
33,black,percents,neutral,0.9512775987386703,0.04872240126132965,none
34,black,lox,neutral,0.9288745447993279,0.07112546265125275,none
35,black,hamburger,neutral,0.8603331595659256,0.1396668404340744,none
36,black,engulfed,neutral,0.8393399268388748,0.16066007316112518,none
37,black,households,neutral,0.8965476080775261,0.1034523993730545,none
38,black,north,neutral,0.8384937047958374,0.16150632500648499,none
39,black,playtest,neutral,1.0490138083696365,-0.04901381582021713,none
40,black,replayability,neutral,1.0002294579753652,-0.00022945477394387126,none
41,black,glottal,neutral,0.873951718211174,0.126048281788826,none
42,black,parable,neutral,0.8898842185735703,0.11011577397584915,none
43,black,gingers,neutral,0.8089231848716736,0.19107681512832642,none
44,black,anachronism,neutral,0.8789886683225632,0.12101133912801743,none
45,black,organizing,neutral,1.0254948064684868,-0.025494800880551338,none
46,black,reach,neutral,0.9866745630279183,0.013325436972081661,none
47,black,shtick,neutral,0.8919924646615982,0.1080075353384018,none
48,black,eleventh,neutral,0.9517744928598404,0.048225510865449905,none
49,black,cpu,neutral,0.9782826248556376,0.0217173770070076,none
50,black,ranked,neutral,0.9726341534405947,0.027365848422050476,none
51,black,irreversibly,neutral,0.8890248686075211,0.11097510904073715,none
52,black,ponce,neutral,0.7757727652788162,0.22422724962234497,none
53,black,velociraptor,neutral,0.9086626470088959,0.09133733808994293,none
54,black,defects,neutral,0.9060887843370438,0.09391121566295624,none
55,black,puzzle,neutral,0.9243312031030655,0.07566879689693451,none
56,black,smasher,neutral,0.8952687233686447,0.10473128408193588,none
57,black,northside,neutral,0.8545422405004501,0.14545774459838867,none
58,black,heft,neutral,0.8627597391605377,0.13724026083946228,none
59,black,observation,neutral,0.9939863849431276,0.0060136145912110806,none
60,black,rectum,neutral,0.8822578266263008,0.11774216592311859,none
61,black,mystical,neutral,0.8895889446139336,0.11041104793548584,none
62,black,telltale,neutral,0.7696554511785507,0.23034453392028809,none
63,black,remnants,neutral,0.8825812712311745,0.11741874366998672,none
64,black,inquiry,neutral,1.0075206574983895,-0.007520659826695919,none
65,black,indisputable,neutral,0.8279929757118225,0.1720070242881775,none
66,black,boatload,neutral,0.9508100040256977,0.04918999969959259,none
67,black,lessening,neutral,0.9861305728554726,0.013869434595108032,none
68,black,uselessness,neutral,0.8894513994455338,0.11054858565330505,none
69,black,observes,neutral,0.9500718787312508,0.04992812126874924,none
70,black,fictitious,neutral,0.8677207827568054,0.13227921724319458,none
71,black,repatriation,neutral,1.027002189308405,-0.027002189308404922,none
72,black,duh,neutral,0.9410895518958569,0.058910444378852844,none
73,black,attic,neutral,0.937888115644455,0.062111884355545044,none
74,black,schilling,neutral,0.9507939778268337,0.04920601844787598,none
75,black,charges,neutral,0.9727455899119377,0.027254413813352585,none
76,black,chatter,neutral,0.9239887744188309,0.07601123303174973,none
77,black,pad,neutral,0.9005173370242119,0.09948267042636871,none
78,black,smurfing,neutral,0.9547266401350498,0.045273344963788986,none
79,black,worthiness,neutral,0.8933551460504532,0.10664485394954681,none
80,black,definitive,neutral,0.926471434533596,0.07352857291698456,none
81,black,neat,neutral,0.8365519791841507,0.1634480357170105,none
82,black,homogenized,neutral,0.8215925544500351,0.1784074604511261,none
83,black,lexicon,neutral,0.9690618701279163,0.030938122421503067,none
84,black,nationalized,neutral,0.9053179249167442,0.09468206763267517,none
85,black,earpiece,neutral,0.8782573118805885,0.12174269556999207,none
86,black,specializations,neutral,0.9568145126104355,0.04318549484014511,none
87,black,lapse,neutral,0.9959171456284821,0.0040828511118888855,none
88,black,concludes,neutral,1.018116096034646,-0.018116099759936333,none
89,black,weaving,neutral,0.8423497527837753,0.15765026211738586,none
90,black,apprentices,neutral,0.9358597844839096,0.06414022296667099,none
91,black,fri,neutral,0.9478740729391575,0.052125927060842514,none
92,black,militias,neutral,0.8802484795451164,0.11975153535604477,none
