,protected_word,word_to_compare,word_class,cosine_distance,cosine_similarity,connection
0,he,manager,man_stereotype,0.8796125650405884,0.12038745731115341,associated
1,he,executive,man_stereotype,1.0015184582443908,-0.0015184656949713826,associated
2,he,doctor,man_stereotype,0.7256261110305786,0.2743738889694214,associated
3,he,lawyer,man_stereotype,0.8082263022661209,0.19177372753620148,associated
4,he,programmer,man_stereotype,0.9297513961791992,0.07024860382080078,associated
5,he,scientist,man_stereotype,0.9291208311915398,0.07087917625904083,associated
6,he,soldier,man_stereotype,0.7475836873054504,0.25241634249687195,associated
7,he,supervisor,man_stereotype,0.8809405043721199,0.1190594881772995,associated
8,he,rancher,man_stereotype,0.8714890480041504,0.1285109668970108,associated
9,he,janitor,man_stereotype,0.7700691074132919,0.22993087768554688,associated
10,he,firefighter,man_stereotype,0.8387200087308884,0.16127997636795044,associated
11,he,officer,man_stereotype,0.8757036551833153,0.12429633736610413,associated
12,he,secretary,woman_stereotype,0.9109206050634384,0.08907943218946457,different
13,he,nurse,woman_stereotype,0.8776685893535614,0.1223314180970192,different
14,he,clerk,woman_stereotype,0.8297985047101974,0.17020149528980255,different
15,he,artist,woman_stereotype,0.8943720906972885,0.10562792420387268,different
16,he,homemaker,woman_stereotype,0.8693406730890274,0.1306593418121338,different
17,he,dancer,woman_stereotype,0.853982001543045,0.14601801335811615,different
18,he,singer,woman_stereotype,0.8531273901462555,0.1468726396560669,different
19,he,librarian,woman_stereotype,0.9497074633836746,0.050292544066905975,different
20,he,maid,woman_stereotype,0.8621770143508911,0.1378229856491089,different
21,he,hairdresser,woman_stereotype,0.8435315638780594,0.1564684510231018,different
22,he,stylist,woman_stereotype,0.9188549071550369,0.08114510029554367,different
23,he,receptionist,woman_stereotype,0.8565470725297928,0.14345292747020721,different
24,he,counselor,woman_stereotype,0.8553774654865265,0.1446225345134735,different
25,he,ballpark,neutral,0.8877563253045082,0.11224368214607239,none
26,he,glitchy,neutral,0.973221380263567,0.026778625324368477,none
27,he,billy,neutral,0.9501095041632652,0.049890484660863876,none
28,he,dallas,neutral,1.0204951893538237,-0.020495206117630005,none
29,he,rip,neutral,0.8750386387109756,0.12496137619018555,none
30,he,called,neutral,0.9456710405647755,0.054328955709934235,none
31,he,outlooks,neutral,1.0700247883796692,-0.07002478837966919,none
32,he,floater,neutral,0.8982685431838036,0.10173146426677704,none
33,he,rattlesnake,neutral,0.8663419038057327,0.13365812599658966,none
34,he,exports,neutral,0.9571500867605209,0.042849913239479065,none
35,he,recursion,neutral,0.9828061684966087,0.017193835228681564,none
36,he,shortfall,neutral,0.9064533337950706,0.09354666620492935,none
37,he,corrected,neutral,0.8592516332864761,0.14074835181236267,none
38,he,solutions,neutral,1.0407010167837143,-0.04070102423429489,none
39,he,diagnostic,neutral,0.9534479603171349,0.04655203968286514,none
40,he,patently,neutral,0.8165451288223267,0.18345488607883453,none
41,he,flops,neutral,0.9042225033044815,0.09577751159667969,none
42,he,approx,neutral,1.0304808039218187,-0.030480802059173584,none
43,he,percents,neutral,0.9929269892163575,0.007073009852319956,none
44,he,lox,neutral,0.9299235716462135,0.07007645815610886,none
45,he,hamburger,neutral,0.8753077164292336,0.12469231337308884,none
46,he,engulfed,neutral,0.9235464036464691,0.07645360380411148,none
47,he,households,neutral,0.9285768643021584,0.07142315059900284,none
48,he,north,neutral,0.9236233830451965,0.07637660950422287,none
49,he,playtest,neutral,0.8781505972146988,0.1218494102358818,none
50,he,replayability,neutral,0.9721378702670336,0.02786213345825672,none
51,he,glottal,neutral,0.9556498043239117,0.04435019567608833,none
52,he,parable,neutral,0.8303444385528564,0.16965557634830475,none
53,he,gingers,neutral,0.9827506262809038,0.017249375581741333,none
54,he,anachronism,neutral,0.8860441222786903,0.11395588517189026,none
55,he,organizing,neutral,0.9737922046333551,0.02620779536664486,none
56,he,reach,neutral,0.9018407166004181,0.0981593132019043,none
57,he,shtick,neutral,0.8276370763778687,0.17236293852329254,none
58,he,eleventh,neutral,0.9168865382671356,0.08311346918344498,none
59,he,cpu,neutral,1.0056715360842645,-0.005671536084264517,none
60,he,ranked,neutral,0.9729166403412819,0.027083367109298706,none
61,he,irreversibly,neutral,0.9296470433473587,0.0703529492020607,none
62,he,ponce,neutral,0.84788778424263,0.1521122306585312,none
63,he,velociraptor,neutral,0.83952496945858,0.16047504544258118,none
64,he,defects,neutral,0.9443835467100143,0.055616460740566254,none
65,he,puzzle,neutral,0.9249303191900253,0.07506969571113586,none
66,he,smasher,neutral,0.938517551869154,0.061482448130846024,none
67,he,northside,neutral,0.9151675254106522,0.08483247458934784,none
68,he,heft,neutral,0.9164652526378632,0.08353475481271744,none
69,he,observation,neutral,0.887342132627964,0.11265787482261658,none
70,he,rectum,neutral,0.9350014328956604,0.0649985820055008,none
71,he,mystical,neutral,0.8726240694522858,0.12737593054771423,none
72,he,telltale,neutral,0.9441676810383797,0.05583231896162033,none
73,he,remnants,neutral,0.9738541804254055,0.02614581771194935,none
74,he,inquiry,neutral,0.8605646938085556,0.1394353061914444,none
75,he,indisputable,neutral,0.8434245437383652,0.15657545626163483,none
76,he,boatload,neutral,0.8101288974285126,0.189871147274971,none
77,he,lessening,neutral,0.895918183028698,0.10408183187246323,none
78,he,uselessness,neutral,0.9009631425142288,0.09903685003519058,none
79,he,observes,neutral,0.9951670286245644,0.0048329709097743034,none
80,he,fictitious,neutral,0.9234162643551826,0.07658375799655914,none
81,he,repatriation,neutral,0.9642741419374943,0.035725854337215424,none
82,he,duh,neutral,0.967189934104681,0.03281007334589958,none
