,protected_word,word_to_compare,word_class,cosine_distance,cosine_similarity,connection
0,he,manager,man_stereotype,0.6302653534561865,0.36973464654381355,associated
1,he,executive,man_stereotype,0.7357200559418267,0.2642799440581735,associated
2,he,doctor,man_stereotype,0.5929679333760528,0.40703206662394725,associated
3,he,lawyer,man_stereotype,0.6119177515125801,0.38808224848741985,associated
4,he,programmer,man_stereotype,0.9029653207559484,0.09703467924405164,associated
5,he,scientist,man_stereotype,0.742508210222034,0.25749178977796605,associated
6,he,soldier,man_stereotype,0.6914842385969233,0.3085157614030768,associated
7,he,supervisor,man_stereotype,0.8656924197348346,0.13430758026516545,associated
8,he,rancher,man_stereotype,0.9368846158906058,0.06311538410939423,associated
9,he,janitor,man_stereotype,0.9028124419406823,0.09718755805931766,associated
10,he,firefighter,man_stereotype,0.9143960828119085,0.08560391718809142,associated
11,he,officer,man_stereotype,0.6216451170953974,0.3783548829046026,associated
12,he,secretary,woman_stereotype,0.7095220467786245,0.2904779532213756,different
13,he,nurse,woman_stereotype,0.8252611143609947,0.17473888563900536,different
14,he,clerk,woman_stereotype,0.7573177162610757,0.24268228373892434,different
15,he,artist,woman_stereotype,0.7011330173437149,0.2988669826562852,different
16,he,homemaker,woman_stereotype,1.0171896252004375,-0.017189625200437566,different
17,he,dancer,woman_stereotype,0.8106891201704076,0.18931087982959235,different
18,he,singer,woman_stereotype,0.802173376160215,0.19782662383978503,different
19,he,librarian,woman_stereotype,0.872960545787589,0.12703945421241117,different
20,he,maid,woman_stereotype,0.9303234973841257,0.06967650261587433,different
21,he,hairdresser,woman_stereotype,0.9643557427654103,0.03564425723458972,different
22,he,stylist,woman_stereotype,1.0064501095103078,-0.006450109510307811,different
23,he,receptionist,woman_stereotype,0.9560343343619361,0.043965665638063964,different
24,he,counselor,woman_stereotype,0.8771900171309365,0.12280998286906354,different
25,he,ballpark,neutral,0.917541628270583,0.08245837172941695,none
26,he,glitchy,neutral,1.3260228462730308,-0.3260228462730311,none
27,he,billy,neutral,0.779069352567495,0.220930647432505,none
28,he,dallas,neutral,0.7905151558190887,0.20948484418091123,none
29,he,rip,neutral,0.971058260680097,0.028941739319902956,none
30,he,called,neutral,0.5780904569989278,0.4219095430010724,none
31,he,outlooks,neutral,1.1191577510916149,-0.11915775109161496,none
32,he,floater,neutral,1.1223981361146866,-0.12239813611468667,none
33,he,rattlesnake,neutral,1.0572465910422004,-0.05724659104220041,none
34,he,exports,neutral,0.8596673913943419,0.14033260860565813,none
35,he,recursion,neutral,1.119311849584035,-0.11931184958403501,none
36,he,shortfall,neutral,0.9744485980920361,0.02555140190796395,none
37,he,corrected,neutral,0.8865347453589595,0.11346525464104051,none
38,he,solutions,neutral,0.8394238124681366,0.16057618753186342,none
39,he,diagnostic,neutral,1.0109671826413107,-0.010967182641310665,none
40,he,patently,neutral,1.0199433931767845,-0.019943393176784563,none
41,he,flops,neutral,1.0180764487876939,-0.01807644878769388,none
42,he,approx,neutral,1.1561644447688728,-0.15616444476887276,none
43,he,percents,neutral,1.2867261763285018,-0.286726176328502,none
44,he,lox,neutral,1.2058608248301061,-0.2058608248301061,none
45,he,hamburger,neutral,0.9716978874953361,0.028302112504663857,none
46,he,engulfed,neutral,0.9698055568065059,0.03019444319349408,none
47,he,households,neutral,0.911329648338147,0.08867035166185308,none
48,he,north,neutral,0.6933366757018884,0.3066633242981116,none
49,he,playtest,neutral,1.3663212183489337,-0.3663212183489337,none
50,he,replayability,neutral,1.253493768357744,-0.25349376835774406,none
51,he,glottal,neutral,1.1620271052683142,-0.1620271052683142,none
52,he,parable,neutral,1.0534795856858348,-0.05347958568583476,none
53,he,gingers,neutral,1.2903971591849555,-0.29039715918495546,none
54,he,anachronism,neutral,1.1000464583559217,-0.1000464583559217,none
55,he,organizing,neutral,0.8148064007973228,0.18519359920267722,none
56,he,reach,neutral,0.7164113758990651,0.28358862410093494,none
57,he,shtick,neutral,1.0502338954313937,-0.05023389543139365,none
58,he,eleventh,neutral,0.8872547240109411,0.11274527598905894,none
59,he,cpu,neutral,1.128245018223344,-0.1282450182233442,none
60,he,ranked,neutral,0.8289037714145581,0.17109622858544202,none
61,he,irreversibly,neutral,1.11581855703388,-0.11581855703388007,none
62,he,ponce,neutral,1.0058127529009278,-0.005812752900927745,none
63,he,velociraptor,neutral,1.1792097584383339,-0.17920975843833398,none
64,he,defects,neutral,0.9696532802722612,0.03034671972773893,none
65,he,puzzle,neutral,0.8927029101711069,0.10729708982889313,none
66,he,smasher,neutral,1.1079931438861994,-0.1079931438861994,none
67,he,northside,neutral,1.153893993981546,-0.15389399398154616,none
68,he,heft,neutral,1.0942124038655574,-0.0942124038655574,none
69,he,observation,neutral,0.8505308808500098,0.14946911914999014,none
